old_path	new_path	stable_id	sha256	disposition	category	aliases
docs/design/trash-dash/.DS_Store			ac02dd2f41ddc15787e93ff163e52cdac9c28b59a63200ac9c11fe8d1b76ac86	generated-metadata-removed	metadata	
docs/design/trash-dash/MULTIPART_README.md	docs/design/trash-dash/MULTIPART_README.md		37f2d4614403ff286885bfed409a50c5e3826a75ba9c28ac2f1f5bd7a8b69e3a	canonical-moved	design-support	
docs/design/trash-dash/README.md	docs/design/trash-dash/README.md		851ce4121c3d22f9a4945b484bdf18393ea2629434d93704edadf2e9614f7f36	canonical-moved	design-support	
docs/design/trash-dash/character-animation/.DS_Store			16d9ef9de083c521523660427d0405756245488010f2493ff47e0f208280848b	generated-metadata-removed	metadata	
docs/design/trash-dash/character-animation/phase-05-codex-integration/.DS_Store			797d94d3e155f91e9c1ad75455bc5ff4921f79bd92210b6d00ff6ce133acb149	generated-metadata-removed	metadata	
docs/design/trash-dash/character-animation/phase-05-codex-integration/ASSET_MAP.md	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/ASSET_MAP.md		e520adb6384f7ed598b0745a247676ed32177b2486178af4b42a858846d189e9	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/CANONICAL_IMPORT_INVENTORY.json	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/CANONICAL_IMPORT_INVENTORY.json		9b0cc63487200c72592c6c681a16b7e7687d67de8f0b09513213d58cda22750d	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/CODEX_IMPORT_AND_INTEGRATION_PROMPT.md	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/CODEX_IMPORT_AND_INTEGRATION_PROMPT.md		307d34985897b881f3b358d492e32852c4c3c4224167a25d5282456d8bf952f2	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/FRAME_METADATA_SCHEMA.json	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/FRAME_METADATA_SCHEMA.json		fb03b01eb8524b135fb58be08956e6ce5609d92a48d3dbd4c24dfbd30b1555c2	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/IMPORT_AUDIT.md	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/IMPORT_AUDIT.md		1c712b49427060b733a7ef44434a44938fda0ce07b615b69c32ae6acd74028ed	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/README.md	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/README.md		f7775685fc71d8da76ffa0c701429412f098f0a8ac3a6c8c06969a947c25e3ac	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/.DS_Store			8f193714063353b4b7595be6f795d1b38771b6358bae806a5331401fc30a2ded	generated-metadata-removed	metadata	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/APPROVAL.md	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/APPROVAL.md		53ede7daeb5cdac3b1119bc61d5ba7b9bcaecea341bda390f9b99476eb01d716	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/README.md	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/README.md		7f8e31a0472f366ff51ae1567e4e72f65cf8521141a7009d2efb8dbd49c698f6	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/jimothy-powered-approved.png	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/jimothy-powered-approved.png		d0ecae91dfe2eb595f2f0f162e349e966d7b66a8bcc4ed841b5ed5efc73d4e4b	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/jimothy-powered-approved.png.import			08601f5387d6093a9666bdd0816801dc35df7af310ade14fbbd2d5d102c61415	generated-metadata-removed	metadata	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/jimothy-regular-approved.png	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/jimothy-regular-approved.png		8abf2ae57ef142168a70000bf43ae228e458dfbc961e2a0ead080db6cdba56ef	package-preserved	package-character-animation	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/jimothy-regular-approved.png.import			0cec619f33e2373cf2f9924c05d2c4c0c1f66a47b88cb0bce2bb3e05631a4308	generated-metadata-removed	metadata	
docs/design/trash-dash/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/trashy-powered-approved.png	docs/design/trash-dash/packages/character-animation/phase-05-codex-integration/phase-01-approved-main-characters/atlases/trashy-powered-approved.png		b1e0219f4e129630ddfac803607e021f40f3007fd77933c84daf9dad0207748b	package-preserved	package-character-animation	
